AvgRM,ExpectedRM
0.785227273,0
0.553846154,0
0.556756757,0
0.986111111,0
0.984285714,0
0.987878788,0
0.85862069,0
0.986111111,0
0.925694444,0
0.827192982,0
0.965740741,0
0.88531746,0
0.554761905,0
0.827192982,0
1.0125,0
1.359722222,0
1.038888889,0
1.06296371,0
0.997175141,0
0.984507042,1
1.651572495,1
1.165660661,1
0.853198758,1
2.121428571,1
1.314714286,1
1.579701493,1
1.851851852,1
1.890631641,1
1.857868742,1
2.088888889,1
1.854473644,1
1.619872995,1
1.478298573,1
1.357089744,1
2.088888889,1
1.866666667,1
2.034939759,1
1.7,1
1.727142857,1
2.039320388,1
0.92697479,1
1.333333333,1
1.78,1
1.661713182,1
1.626923077,1
1.455670225,1
1.896919285,2
2.088888889,2
2.419828365,2
2.148,2
2.731840287,2
2.646648115,2
2.236534065,2
2.42985782,2
2.395786517,2
2.200162778,2
2.349802859,2
2.459832496,2
2.590322581,2
2.322120596,2
2.663199344,2
2.408571429,2
2.22800418,2
2.406093906,2
2.491857442,2
2.556481481,2
2.051028807,2
2.139479905,2
2.234577387,2
2.103829787,2
2.875557128,2
2.65852999,2
2.781848185,2
1.853164557,2
2.441176471,2
2.393157895,2
2.712255773,2
2.748837209,2
2.732015639,2
2.873299492,2
2.556481481,2
2.735881036,2
2.428940164,2
2.452757079,2
2.43,2
2.43,2
1.784468248,2
2.386614612,2
2.797493233,3
2.545255474,3
3.302922699,3
2.870468948,3
2.809025271,3
3.191346154,3
3.399539171,3
2.956330297,3
2.560215054,3
2.765631929,3
2.64,3
3.242004672,3
3.005378788,3
3.199748654,3
2.712790055,3
2.656944444,3
3.314912281,3
3.688648649,3
3.122141171,3
2.556481481,3
2.553738318,3
3.195459539,3
3.045124633,3
3.106973435,3
3.114117647,3
3.249438534,3
3.452229299,3
3.129919355,3
2.992238578,3
2.559134615,3
3.222330097,3
3.760810811,4
3.313392857,4
3.523116438,4
3.591353383,4
3.547368421,4
3.440361786,4
3.64266055,4
3.725202679,4
4.223148148,4
3.415831135,4
3.684615385,4
3.534597876,4
3.769714964,4
3.692571429,4
3.991549296,4
3.547368421,4
3.547368421,4
4.093706294,5
5.066666667,5
4.237254902,5
4.083050847,5
4.197249509,5
3.985046729,6
3.993203883,6
3.986111111,6
3.986111111,6
